Data,Crude_Oil_NYMEX,SMR_20_US,Sky,Butadiene
6/4/2005,52.82,142.5,11.36,1340
6/11/2005,51.55,142,11.36,1345
6/18/2005,57.23,144,11.36,1330
6/25/2005,57.68,148,11.36,1330
7/2/2005,57.02,151,11.36,1330
7/9/2005,57.51,161,11.36,1330
7/16/2005,57.08,170.5,11.36,1325
7/23/2005,57.45,182,11.36,1310
7/30/2005,59.63,171.5,11.36,1310
8/6/2005,61.16,168.5,11.7,1333
8/13/2005,67.18,152,11.7,1331
8/20/2005,64.61,153.25,11.7,1320
8/27/2005,66.23,158,11.7,1320
9/3/2005,64.63,167.5,11.7,1300
9/10/2005,62.52,172,11.7,1310
9/17/2005,60.32,170.5,11.7,1285
9/24/2005,61.56,170.25,11.7,1270
10/1/2005,61.92,167.5,11.7,1270
10/8/2005,57.72,171,11.7,1270
10/15/2005,59.33,171,11.7,1200
10/22/2005,58.17,168.5,11.7,1190
10/29/2005,59.68,167.25,11.7,1150
11/5/2005,59.65,162.5,11.7,1130
11/12/2005,54.51,157.5,11.7,1110
11/19/2005,53.13,158.5,11.7,1055
11/26/2005,53.31,162.75,11.7,1035
12/3/2005,55.34,161.25,11.7,1000
12/10/2005,56.28,168.75,11.7,940
12/17/2005,57.17,167.5,11.7,940
12/24/2005,56.82,171,11.7,910
12/31/2005,59.52,176,11.7,915
1/7/2006,63.21,175.5,11.7,910
1/14/2006,61.91,186,11.7,940
1/21/2006,65.3,195,11.7,955
1/28/2006,65.62,198,11.7,1045
2/4/2006,63.01,217,11.7,1045
2/11/2006,59.29,208.75,11.7,1090
2/18/2006,58.41,195.5,11.7,1120
2/25/2006,60.9,208.75,11.7,1210
3/4/2006,62.99,214.25,11.7,1245
3/11/2006,59.24,201.25,11.7,1270
3/18/2006,62.97,206,11.7,1300
3/25/2006,62.85,206.5,11.7,1320
4/1/2006,66.08,213.75,11.7,1320
4/8/2006,67.32,212.25,11.7,1255
4/15/2006,70.23,212.5,11.7,1280
4/22/2006,74.74,214.5,11.7,1280
4/29/2006,72.04,216,11.7,1300
5/6/2006,70.55,220.25,11.7,1330
5/13/2006,70.98,236.5,11.7,1330
5/20/2006,66.99,251.5,11.7,1355
5/27/2006,69.47,265.5,11.7,1348
6/3/2006,70.1,263,11.7,1360
6/10/2006,69.3,276.75,11.7,1355
6/17/2006,66.5,262,11.7,1360
6/24/2006,69.62,272.5,11.7,1370
7/1/2006,73.39,272.75,11.7,1400
7/8/2006,72.51,263.25,11.7,1410
7/15/2006,75.9,254.5,11.7,1430
7/22/2006,73.01,240.75,11.7,1445
7/29/2006,73.77,225.25,11.7,1500
8/5/2006,76.16,232,11.7,1515
8/12/2006,75.39,224,11.7,1515
8/19/2006,71.36,214,13.46,1550
8/26/2006,71.6,212.75,13.46,1560
9/2/2006,70.06,198.25,13.46,1595
9/9/2006,63.47,178.5,13.46,1605
9/16/2006,61.28,189,13.46,1635
9/23/2006,58.34,172.75,13.46,1635
9/30/2006,60.37,175.5,13.46,1650
10/7/2006,57.83,186,13.46,1640
10/14/2006,58.64,179.75,13.46,1620
10/21/2006,57.69,184.5,13.46,1625
10/28/2006,58.55,179,13.46,1625
11/4/2006,57.18,172.25,13.46,1590
11/11/2006,58.41,171,13.46,1565
11/18/2006,57.57,159,13.46,1420
11/25/2006,60.48,148.5,13.46,1355
12/2/2006,65.17,156,13.46,1355
12/9/2006,62.69,168.75,13.46,1270
12/16/2006,62.11,167,13.46,1170
12/23/2006,62.08,185.75,13.86,1170
12/30/2006,59.5,195.25,13.86,1170
1/6/2007,53.85,190.25,13.86,1170
1/13/2007,51.54,201,13.86,1155
1/20/2007,53,206.75,13.86,1140
1/27/2007,55.84,220,13.86,1140
2/3/2007,58.47,224.25,13.86,1115
2/10/2007,57.37,232.5,13.86,1145
2/17/2007,57.4,227.5,13.86,1085
2/24/2007,59.51,226.5,13.86,1085
3/3/2007,61.34,223.75,13.86,1100
3/10/2007,59.68,220,13.86,1090
3/17/2007,59.96,218,13.86,990
3/24/2007,63.15,228.5,13.86,1010
3/31/2007,68.38,229.75,13.86,950
4/7/2007,68.56,228,13.86,950
4/14/2007,67.85,236,13.86,980
4/21/2007,66.23,230.25,13.86,990
4/28/2007,67.79,226.5,13.86,990
5/5/2007,63.85,231.5,13.86,990
5/12/2007,65.71,230.5,13.86,975
5/19/2007,69.04,241,13.86,975
5/26/2007,70.66,244.25,13.86,945
6/2/2007,69.69,235,14.27,930
6/9/2007,68.66,228.25,14.27,915
6/16/2007,71.95,221,14.27,895
6/23/2007,72.24,217.75,14.27,850
6/30/2007,72.69,208,14.27,850
7/7/2007,76.53,200.5,14.76,850
7/14/2007,78.51,207,14.76,860
7/21/2007,79.11,210.75,14.76,860
7/28/2007,76.67,214,14.76,860
8/4/2007,74.69,219.5,14.76,870
8/11/2007,70.28,209.75,14.76,870
8/18/2007,69.11,205.5,14.76,890
8/25/2007,69.9,206.75,14.76,890
9/1/2007,72.4,213,14.76,900
9/8/2007,75.54,214.75,14.76,900
9/15/2007,77.43,212,14.76,900
9/22/2007,78.37,217.5,14.76,1065
9/29/2007,79.49,222,14.76,1100
10/6/2007,79.2,223,14.76,1150
10/13/2007,81,228.5,14.76,1150
10/20/2007,83.83,238,14.76,1195
10/27/2007,88.35,242.75,14.76,1235
11/3/2007,92.43,252.75,14.76,1250
11/10/2007,92.54,258.75,14.76,1250
11/17/2007,91.53,241.75,14.76,1280
11/24/2007,95.81,245.75,14.76,1320
12/1/2007,88.98,242,14.76,1375
12/8/2007,88.17,239,14.76,1470
12/15/2007,91.69,250.75,14.76,1475
12/22/2007,92.33,251.75,14.76,1590
12/29/2007,94.3,258.75,14.76,1660
12/31/2007,94.47,258.75,14.76,1660
1/5/2008,96.94,262.5,14.76,1750
1/12/2008,90.96,261,14.76,1780
1/19/2008,89.54,263.5,14.76,1800
1/26/2008,91.26,263,14.76,1800
2/2/2008,90.12,274.5,14.76,1800
2/9/2008,92.55,270.75,14.76,1845
2/16/2008,96.15,278,14.76,1785
2/23/2008,97.09,284.5,14.76,1715
3/1/2008,100.28,282,14.76,1715
3/8/2008,103.97,278.75,14.76,1715
3/15/2008,108.88,279.75,14.76,1715
3/22/2008,100.63,273.5,14.76,1700
3/29/2008,102.16,277.5,14.76,1720
4/5/2008,103.98,281.75,14.76,1795
4/12/2008,107.91,281,14.76,1800
4/19/2008,112.02,285.75,14.76,1870
4/26/2008,116.07,287.5,14.76,1895
5/3/2008,111.37,290,14.76,1940
5/10/2008,122.99,296.5,14.76,1995
5/17/2008,122.63,304.5,14.76,2070
5/24/2008,129.37,314.5,14.76,2145
5/31/2008,127.5,306.75,18.76,2145
6/7/2008,132.46,320.5,18.76,2400
6/14/2008,133.94,328,18.76,2590
6/21/2008,133.93,319.5,18.76,2955
6/28/2008,139.03,331,18.76,2955
7/5/2008,143.29,326.25,18.76,2955
7/12/2008,143.33,323.75,18.76,2955
7/19/2008,128.99,316.5,18.76,3250
7/26/2008,124.35,318.75,18.76,3350
8/2/2008,125.16,310.5,18.76,3350
8/9/2008,112.58,293.5,18.76,3325
8/16/2008,107.55,284.5,18.76,3275
8/23/2008,114.61,288,18.76,3175
8/30/2008,113.63,299,18.76,3075
9/6/2008,102.03,293.25,18.76,3075
9/13/2008,96.64,288,18.76,3150
9/20/2008,93.91,279.5,18.76,2975
9/27/2008,95.94,271.25,18.76,2875
10/4/2008,89.5,241,18.76,2875
10/11/2008,74.52,192,18.76,2475
10/18/2008,66.31,158.5,18.76,2000
10/25/2008,61.03,175.5,18.76,1500
11/1/2008,60.72,183,18.76,995
11/8/2008,56.55,180,18.76,895
11/15/2008,51.21,179.9,18.76,825
11/22/2008,45.56,139,18.76,750
11/29/2008,48.6,134,18.76,675
12/6/2008,37.16,109.5,15.97,590
12/13/2008,43.24,102,15.97,580
12/20/2008,40.02,125,15.97,580.5
12/27/2008,33.68,133,15.97,425
12/31/2008,36.57,137.5,15.97,425
1/3/2009,40.06,139,13.87,400
1/10/2009,42.43,150,13.87,380
1/17/2009,45.62,153.5,13.87,475
1/24/2009,43.15,146,13.87,505
1/31/2009,44.49,148,13.87,505
2/7/2009,44.06,151,13.87,525
2/14/2009,44.19,151.1,13.87,555
2/21/2009,39.96,141.5,13.87,565
2/28/2009,44.66,143,13.87,565
3/7/2009,43.05,139.5,13.87,525
3/14/2009,45.24,139.5,13.87,530
3/21/2009,49.9,144.4,13.87,535
3/28/2009,50.31,152,13.87,542.5
4/4/2009,50.76,160.5,13.87,583
4/11/2009,52.86,168,13.87,583
4/18/2009,52.35,165,13.87,675
4/25/2009,50.79,159,13.87,725
5/2/2009,51.95,163,13.87,705
5/9/2009,56.18,172.5,13.87,675
5/16/2009,56.5,168,13.87,695
5/23/2009,58.53,168,13.87,685
5/30/2009,64.93,174,13.87,675
6/6/2009,67.76,172,13.87,705
6/13/2009,69.94,170.5,13.87,755
6/20/2009,70.79,167.2,13.87,865
6/27/2009,68.42,164.9,13.87,925
7/4/2009,65.37,162,13.87,1035
7/11/2009,58.83,166,14.96,1035
7/18/2009,63.7,175.9,14.96,1085
7/25/2009,68.89,185,14.96,1155
8/1/2009,69.96,198,14.96,1225
8/8/2009,74.5,197.5,14.96,1305
8/15/2009,71.35,210.8,14.96,1425
8/22/2009,73.77,204.5,14.96,1505
8/29/2009,73.14,215.5,14.96,1545
9/5/2009,65.77,218,15.4,1695
9/12/2009,68.44,224,15.4,1685
9/19/2009,70.24,219,15.4,1635
9/26/2009,64.76,212,15.4,1495
10/3/2009,66.58,219,15.4,1405
10/10/2009,69.21,236,15.4,1405
10/17/2009,74.97,234,15.4,1405
10/24/2009,77.53,245.8,15.4,1435
10/31/2009,75.19,245,15.4,1435
11/7/2009,74.91,244.5,15.85,1405
11/14/2009,75.12,251.5,15.85,1350
11/21/2009,75.83,257,15.85,1330
11/28/2009,76.1,273.5,15.85,1375
12/5/2009,77.86,285,15.85,1445
12/12/2009,70.31,267.5,15.85,1435
12/19/2009,72.09,288,15.85,1555
12/26/2009,74.54,280.5,15.85,1752.5
12/31/2009,78,288.5,15.85,1752.5
1/2/2010,78,288.5,16.31,1752.5
1/9/2010,80.24,303,16.31,1785
1/16/2010,77.13,316,16.31,1795
1/23/2010,73.1,315,16.31,1825
1/30/2010,71.95,302,16.31,1847.5
2/6/2010,70.72,296,16.31,1837.5
2/13/2010,71.34,312.9,16.31,1795
2/20/2010,76.64,319.4,16.31,1795
2/27/2010,76.36,328,16.31,1805
3/6/2010,79.29,329,16.31,1825
3/13/2010,79.34,328.5,16.31,1909
3/20/2010,77.94,332.5,16.31,2012.5
3/27/2010,77.65,340,16.31,2012.5
4/3/2010,82.83,360,16.31,2012.5
4/10/2010,83.51,388,16.31,2050
4/17/2010,83.14,411,16.31,2050
4/24/2010,86.51,408,16.31,2300
5/1/2010,85.78,403.5,16.31,2231
5/8/2010,76.71,340,16.31,2231
5/15/2010,76.27,366.5,16.31,2231
5/22/2010,70.57,372,16.31,2211
5/29/2010,73.31,392,16.31,2099
6/5/2010,71.87,360,16.31,2061
6/12/2010,73.21,340,16.31,1900
6/19/2010,77.22,360,16.31,1959
6/26/2010,76.34,366.5,16.31,1935
7/3/2010,72.24,338.5,16.31,1825
7/10/2010,75.45,338.5,16.31,1820
7/17/2010,75.65,322,16.31,1825
7/24/2010,77.28,316,16.31,1775
7/31/2010,78.64,320,16.31,1775
8/7/2010,81.37,327,16.31,1781
8/14/2010,75.12,328.4,16.31,1731
8/21/2010,73.53,336,16.31,1681
8/28/2010,75.37,336.3,16.31,1681
9/4/2010,75.05,349.5,15.91,1676
9/11/2010,77.62,352,15.91,1676
9/18/2010,77.33,345,15.91,1705
9/25/2010,78.7,356.8,15.91,1721
10/2/2010,83.43,368,15.91,1751
10/9/2010,83.96,378.9,15.91,1771
10/16/2010,82.18,404,15.91,1810
10/23/2010,82.54,398.5,15.91,1910
10/30/2010,82.59,397,15.91,1910
11/6/2010,87.53,422,15.45,2020
11/13/2010,86.15,448.9,15.45,2030
11/20/2010,83.78,440,15.45,2020
11/27/2010,85.1,429,15.45,2010
12/4/2010,91.21,447.7,15.45,2040
12/11/2010,90.03,461,15.45,2050
12/18/2010,91.4,477,15.45,2050
12/25/2010,93.87,496,15.45,2060
12/31/2010,93.72,500,15.45,2060
1/1/2011,93.72,500,15.45,2060
1/8/2011,93.66,526,15.45,2060
1/15/2011,98.46,554,15.45,2095
1/22/2011,97.13,581,15.45,2195
1/29/2011,98.41,570,15.45,2255
2/5/2011,99.55,580,15.45,2255
2/12/2011,100.75,630,15.45,2325
2/19/2011,102.29,648,15.45,2510
2/26/2011,111.95,618,15.45,2600
3/5/2011,115.69,595,15.9,2600
3/12/2011,113.88,480,15.9,2600
3/19/2011,113.98,524.9,15.9,2610
3/26/2011,115.59,565,15.9,2760
4/2/2011,118.64,566,16.36,2760
4/9/2011,126.51,607.5,16.36,2810
4/16/2011,123.9,587.3,16.36,2980
4/23/2011,124.51,578,16.36,3180
4/30/2011,125.76,545,16.36,3200
5/7/2011,111.39,510,16.36,3200
5/14/2011,113.28,502.5,16.36,3390
5/21/2011,111.69,506.2,16.36,3511
5/28/2011,114.78,514,16.36,3511
6/4/2011,115.6,517,16.84,3810
6/11/2011,118.79,511.3,16.84,3810
6/18/2011,113.36,502.3,16.84,3860
6/25/2011,104.99,462,16.84,4200
7/2/2011,111.74,458.5,17.33,4200
7/9/2011,118.04,470.7,17.33,4200
7/16/2011,117.78,470,17.33,4200
7/23/2011,118.89,476.2,17.33,4210
7/30/2011,116.23,485.3,17.33,4050
8/6/2011,108.1,476,17.33,4050
8/13/2011,108.06,463.5,17.33,3925
8/20/2011,108.94,459,17.33,3870
8/27/2011,111.81,464,17.33,3820
9/3/2011,114.18,473,17.83,3660
9/10/2011,113.88,470,17.83,3460
9/17/2011,114.15,472,17.83,3360
9/24/2011,106.45,441.3,17.83,2950
10/1/2011,103.98,423.5,17.83,2650
