Data,Crude_Oil_NYMEX,SMR_20_US,Rate,Butadiene
1/2/2010,288.5,78,31.89,1752.5
1/9/2010,303,80.24,31.87,1785
1/16/2010,316,77.13,31.78,1795
1/23/2010,315,73.1,31.89,1825
1/30/2010,302,71.95,32.01,1847.5
2/6/2010,296,70.72,32.07,1837.5
2/13/2010,312.9,71.34,32.09,1795
2/20/2010,319.4,76.64,32.09,1795
2/27/2010,328,76.36,32.08,1805
3/6/2010,329,79.29,32.01,1825
3/13/2010,328.5,79.34,31.87,1909
3/20/2010,332.5,77.94,31.79,2012.5
3/27/2010,340,77.65,31.86,2012.5
4/3/2010,360,82.83,31.76,2012.5
4/10/2010,388,83.51,31.65,2050
4/17/2010,411,83.14,31.47,2050
4/24/2010,408,86.51,31.43,2300
5/1/2010,403.5,85.78,31.43,2231
5/8/2010,340,76.71,31.63,2231
5/15/2010,366.5,76.27,31.78,2231
5/22/2010,372,70.57,32.11,2211
5/29/2010,392,73.31,32.24,2099
6/5/2010,360,71.87,32.33,2061
6/12/2010,340,73.21,32.49,1900
6/19/2010,360,77.22,32.29,1959
6/26/2010,366.5,76.34,32.13,1935
7/3/2010,338.5,72.24,32.28,1825
7/10/2010,338.5,75.45,32.18,1820
7/17/2010,322,75.65,32.21,1825
7/24/2010,316,77.28,32.15,1775
7/31/2010,320,78.64,32.07,1775
8/7/2010,327,81.37,31.84,1781
8/14/2010,328.4,75.12,31.89,1731
8/21/2010,336,73.53,31.96,1681
8/28/2010,336.3,75.37,32.03,1681
9/4/2010,349.5,75.05,32.04,1676
9/11/2010,352,77.62,31.95,1676
9/18/2010,345,77.33,31.79,1705
9/25/2010,356.8,78.7,31.68,1721
10/2/2010,368,83.43,31.31,1751
10/9/2010,378.9,83.96,31.15,1771
10/16/2010,404,82.18,30.91,1810
10/23/2010,398.5,82.54,30.89,1910
10/30/2010,397,82.59,30.79,1910
11/6/2010,422,87.53,30.63,2020
11/13/2010,448.9,86.15,30.63,2030
11/20/2010,440,83.78,30.73,2020
11/27/2010,429,85.1,30.76,2010
12/4/2010,447.7,91.21,30.79,2040
12/11/2010,461,90.03,30.61,2050
12/18/2010,477,91.4,30.52,2050
12/25/2010,496,93.87,30.55,2060
12/31/2010,500,93.72,30.34,2060
1/1/2011,500,93.72,30.18,2060
1/8/2011,526,93.66,30.23,2060
1/15/2011,554,98.46,30.35,2095
1/22/2011,581,97.13,30.3,2195
1/29/2011,570,98.41,29.2,2255
2/5/2011,580,99.55,29.15,2255
2/12/2011,630,100.75,29.41,2325
2/19/2011,648,102.29,29.59,2510
2/26/2011,618,111.95,29.58,2600
3/5/2011,595,115.69,29.46,2600
3/12/2011,480,113.88,29.55,2600
3/19/2011,524.9,113.98,29.55,2610
3/26/2011,565,115.59,29.32,2760
4/2/2011,566,118.64,29.06,2760
4/9/2011,607.5,126.51,29.05,2810
4/16/2011,587.3,123.9,29.01,2980
4/23/2011,578,124.51,28.79,3180
4/30/2011,545,125.76,28.69,3200
5/7/2011,510,111.39,28.73,3200
5/14/2011,502.5,113.28,28.84,3390
5/21/2011,506.2,111.69,28.95,3511
5/28/2011,514,114.78,28.74,3511
6/4/2011,517,115.6,28.74,3810
6/11/2011,511.3,118.79,28.92,3810
6/18/2011,502.3,113.36,28.94,3860
6/25/2011,462,104.99,28.78,4200
7/2/2011,458.5,111.74,28.81,4200
7/9/2011,470.7,118.04,28.89,4200
7/16/2011,470,117.78,28.89,4200
7/23/2011,476.2,118.89,28.84,4210
7/30/2011,485.3,116.23,28.91,4050
8/6/2011,476,108.1,29.04,4050
8/13/2011,463.5,108.06,28.98,3925
8/20/2011,459,108.94,29.02,3870
8/27/2011,464,111.81,28.99,3820
9/3/2011,473,114.18,29.13,3660
9/10/2011,470,113.88,29.57,3460
9/17/2011,472,114.15,30.07,3360
9/24/2011,441.3,106.45,30.47,2950
10/1/2011,423.5,103.98,30.59,2650
10/8/2011,419,106.28,30.34,2560
10/15/2011,423.5,114.34,30.19,2250
10/22/2011,382,110.78,30.05,2050
10/29/2011,393,110.34,30.1,1875
11/5/2011,366,112.06,30.14,1650
11/12/2011,323.5,114.23,30.21,1550
11/19/2011,342.9,107.65,30.37,1700
11/26/2011,319.7,106.54,30.15,1875
12/3/2011,341,109.63,30.19,2211
