Data,Crude_Oil_NYMEX,SMR_20_US,Rate,Butadiene
1/2/2010,78,288.5,31.89,1752.5
1/9/2010,80.24,303,31.87,1785
1/16/2010,77.13,316,31.78,1795
1/23/2010,73.1,315,31.89,1825
1/30/2010,71.95,302,32.01,1847.5
2/6/2010,70.72,296,32.07,1837.5
2/13/2010,71.34,312.9,32.09,1795
2/20/2010,76.64,319.4,32.09,1795
2/27/2010,76.36,328,32.08,1805
3/6/2010,79.29,329,32.01,1825
3/13/2010,79.34,328.5,31.87,1909
3/20/2010,77.94,332.5,31.79,2012.5
3/27/2010,77.65,340,31.86,2012.5
4/3/2010,82.83,360,31.76,2012.5
4/10/2010,83.51,388,31.65,2050
4/17/2010,83.14,411,31.47,2050
4/24/2010,86.51,408,31.43,2300
5/1/2010,85.78,403.5,31.43,2231
5/8/2010,76.71,340,31.63,2231
5/15/2010,76.27,366.5,31.78,2231
5/22/2010,70.57,372,32.11,2211
5/29/2010,73.31,392,32.24,2099
6/5/2010,71.87,360,32.33,2061
6/12/2010,73.21,340,32.49,1900
6/19/2010,77.22,360,32.29,1959
6/26/2010,76.34,366.5,32.13,1935
7/3/2010,72.24,338.5,32.28,1825
7/10/2010,75.45,338.5,32.18,1820
7/17/2010,75.65,322,32.21,1825
7/24/2010,77.28,316,32.15,1775
7/31/2010,78.64,320,32.07,1775
8/7/2010,81.37,327,31.84,1781
8/14/2010,75.12,328.4,31.89,1731
8/21/2010,73.53,336,31.96,1681
8/28/2010,75.37,336.3,32.03,1681
9/4/2010,75.05,349.5,32.04,1676
9/11/2010,77.62,352,31.95,1676
9/18/2010,77.33,345,31.79,1705
9/25/2010,78.7,356.8,31.68,1721
10/2/2010,83.43,368,31.31,1751
10/9/2010,83.96,378.9,31.15,1771
10/16/2010,82.18,404,30.91,1810
10/23/2010,82.54,398.5,30.89,1910
10/30/2010,82.59,397,30.79,1910
11/6/2010,87.53,422,30.63,2020
11/13/2010,86.15,448.9,30.63,2030
11/20/2010,83.78,440,30.73,2020
11/27/2010,85.1,429,30.76,2010
12/4/2010,91.21,447.7,30.79,2040
12/11/2010,90.03,461,30.61,2050
12/18/2010,91.4,477,30.52,2050
12/25/2010,93.87,496,30.55,2060
12/31/2010,93.72,500,30.34,2060
1/1/2011,93.72,500,30.18,2060
1/8/2011,93.66,526,30.23,2060
1/15/2011,98.46,554,30.35,2095
1/22/2011,97.13,581,30.3,2195
1/29/2011,98.41,570,29.2,2255
2/5/2011,99.55,580,29.15,2255
2/12/2011,100.75,630,29.41,2325
2/19/2011,102.29,648,29.59,2510
2/26/2011,111.95,618,29.58,2600
3/5/2011,115.69,595,29.46,2600
3/12/2011,113.88,480,29.55,2600
3/19/2011,113.98,524.9,29.55,2610
3/26/2011,115.59,565,29.32,2760
4/2/2011,118.64,566,29.06,2760
4/9/2011,126.51,607.5,29.05,2810
4/16/2011,123.9,587.3,29.01,2980
4/23/2011,124.51,578,28.79,3180
4/30/2011,125.76,545,28.69,3200
5/7/2011,111.39,510,28.73,3200
5/14/2011,113.28,502.5,28.84,3390
5/21/2011,111.69,506.2,28.95,3511
5/28/2011,114.78,514,28.74,3511
6/4/2011,115.6,517,28.74,3810
6/11/2011,118.79,511.3,28.92,3810
6/18/2011,113.36,502.3,28.94,3860
6/25/2011,104.99,462,28.78,4200
7/2/2011,111.74,458.5,28.81,4200
7/9/2011,118.04,470.7,28.89,4200
7/16/2011,117.78,470,28.89,4200
7/23/2011,118.89,476.2,28.84,4210
7/30/2011,116.23,485.3,28.91,4050
8/6/2011,108.1,476,29.04,4050
8/13/2011,108.06,463.5,28.98,3925
8/20/2011,108.94,459,29.02,3870
8/27/2011,111.81,464,28.99,3820
9/3/2011,114.18,473,29.13,3660
9/10/2011,113.88,470,29.57,3460
9/17/2011,114.15,472,30.07,3360
9/24/2011,106.45,441.3,30.47,2950
10/1/2011,103.98,423.5,30.59,2650
10/8/2011,106.28,419,30.34,2560
10/15/2011,114.34,423.5,30.19,2250
10/22/2011,110.78,382,30.05,2050
10/29/2011,110.34,393,30.1,1875
11/5/2011,112.06,366,30.14,1650
11/12/2011,114.23,323.5,30.21,1550
11/19/2011,107.65,342.9,30.37,1700
11/26/2011,106.54,319.7,30.15,1875
12/3/2011,109.63,341,30.19,2211
12/10/2011,108.14,345.5,30.3,2370
12/17/2011,103.94,335.9,30.32,2770
12/24/2011,108.15,342.7,30.3,2900
12/31/2011,106.93,328,29.11,2900
1/7/2012,112.3,334.1,29.11,2850
1/14/2012,110.14,344.9,29.1,3000
1/21/2012,109.06,380,29.12,3000
1/28/2012,110.91,403,29.59,3000
2/4/2012,113.38,398,29.55,3629
2/11/2012,117.7,395.8,29.57,3940
2/18/2012,119.93,393.3,29.57,3990
2/25/2012,125.21,401,29.47,3990
3/3/2012,125.02,404,29.52,3890
3/10/2012,126.74,397.3,29.55,3250
3/17/2012,125.42,390.4,29.56,3200
3/24/2012,125.04,389,29.57,3600
3/31/2012,123.15,395,29.51,3500
4/7/2012,123.21,389.8,29.55,3500
4/14/2012,121.11,380,29.53,3480
4/21/2012,118.26,379.1,29.45,3150
4/28/2012,119.29,386,29.26,2590
5/5/2012,112.49,393.9,29.39,2500
5/12/2012,112.43,376.5,29.56,2410
5/19/2012,107.66,370,29.59,2210
5/26/2012,107.26,364.3,29.93,1950
6/2/2012,98.43,343,29.97,1900
6/9/2012,98.39,315,29.95,1860
6/16/2012,97.29,330,29.9,1930
6/23/2012,90.15,302.5,29.95,2270
6/30/2012,96.13,309.2,29.9,2340
7/7/2012,98.33,317.3,29.98,2460
7/14/2012,102.38,310,29.99,2489
7/21/2012,106.8,310.6,30.13,2489
7/28/2012,106.27,302,29.99,2470
8/4/2012,109.33,294.9,29.96,2299
8/11/2012,112.94,276.6,30,2099
8/18/2012,114.45,278,29.99,1900
8/25/2012,114.76,280.4,29.98,1900
9/1/2012,114.47,272,29.89,1944
9/8/2012,113.97,281,29.65,1984
9/15/2012,116.89,317.5,29.44,1988
9/22/2012,109.5,319.5,29.43,2000
9/29/2012,111.69,328.2,29.38,2100
10/6/2012,112.13,336,29.39,1930
10/13/2012,114.82,323,29.28,1929
10/20/2012,110.86,312.5,29.31,1860
10/27/2012,109.18,310.5,29.28,1795
11/3/2012,106.22,301,29.22,1740
11/10/2012,109.73,295,29.14,1689
11/17/2012,108.54,299.1,29.17,1644
11/24/2012,110.93,298,29.13,1600
12/1/2012,110.9,298.4,29.11,1495
12/8/2012,107.08,301.5,29.11,1495
12/15/2012,109.12,310.3,29.1,1540
12/22/2012,108.93,315.8,29.12,1640
12/29/2012,110.14,323,29.1,1640
12/31/2012,110.6,323,29.09,1640
1/5/2013,112.07,334.5,29.06,1640
1/12/2013,110.46,334.3,29.12,1790
1/19/2013,111.85,328.9,29.58,1840
1/26/2013,113.54,326.7,29.63,1860
2/2/2013,116.8,334,29.63,1950
2/9/2013,118.94,331,29.66,2010
2/16/2013,117.55,323.9,29.7,2089
2/23/2013,113.9,304.8,29.71,2080
3/2/2013,110.29,300.2,29.75,2060
3/9/2013,109.89,307.1,29.84,1845
3/16/2013,109.55,295.5,29.9,1735
3/23/2013,106.93,296.3,29.92,1570
3/30/2013,108.69,293,30.01,1500
4/6/2013,104.02,277,29.89,1470
4/13/2013,101.9,294,29.8,1405
4/20/2013,99.17,285,29.61,1395
4/27/2013,102.77,292.5,29.6,1460
5/4/2013,104.43,296,29.99,1475
5/11/2013,102.57,306,29.99,1480
5/18/2013,104.35,302.1,30.06,1480
5/25/2013,101.91,310,29.95,1470
6/1/2013,100.38,297.8,30.08,1440
6/8/2013,104.28,286.5,30.07,1420
6/15/2013,105.74,278,30.23,1410
6/22/2013,100.6,279.3,30.18,1260
6/29/2013,102.29,265.5,30.08,1150
7/6/2013,107.5,265,29.94,979
7/13/2013,108.88,255,29.94,869
7/20/2013,108.77,255,30.06,854
7/27/2013,107.51,250,29.97,910
8/3/2013,109.33,244.3,30,1090
8/10/2013,108.37,245,30.07,1090
8/17/2013,111.23,261.7,30.02,1129
8/24/2013,111.24,263,29.91,1250
8/31/2013,114.67,262.3,29.8,1240
9/7/2013,116.6,268.7,29.74,1240
9/14/2013,112.89,259.2,29.65,1370
9/21/2013,109.65,267,29.58,1390
9/28/2013,108.92,258,29.52,1490
10/5/2013,109.46,248.2,29.45,1590
10/12/2013,110.95,256,29.45,1680
10/19/2013,109.71,257,29.46,1679
10/26/2013,106.36,251,29.48,1750
11/2/2013,106.67,251.1,29.62,1710
11/9/2013,104.67,250,29.59,1585
11/16/2013,108.34,249,29.66,1400
11/23/2013,111.22,248.5,29.67,1420
11/30/2013,110.26,252,29.64,1560
12/7/2013,111.67,257,29.81,1620
12/14/2013,108.48,261.2,30.03,1485
12/21/2013,111.98,257,30.67,1460
12/28/2013,111.29,253,30.24,1460
12/31/2013,110.55,249,30.19,1460
1/4/2014,106.72,243,30.33,1460
1/11/2014,106.88,239,30.44,1500
1/18/2014,107.48,235.2,30.41,1510
1/25/2014,108.62,227.7,30.37,1490
2/1/2014,107.27,217.4,30.34,1480
2/8/2014,109.38,206,30.38,1489
2/15/2014,108.81,215,30.34,1470
2/22/2014,110.09,216.4,30.34,1455
3/1/2014,108.93,220,30.47,1448
3/8/2014,109.08,224,30.59,1410
3/15/2014,108.34,233.2,30.42,1280
3/22/2014,107.08,229.9,30.2,1190
3/29/2014,107.36,231.6,30.22,1204
4/5/2014,106.64,226.5,30.3,1260
4/12/2014,107.4,224.8,30.24,1300
4/19/2014,109.21,220.9,30.16,1299
4/26/2014,109.48,207.1,30.2,1250
5/3/2014,109.1,206,30.18,1250
5/10/2014,108.07,202.6,30.13,1245
5/17/2014,110.48,208.3,30.08,1230
5/24/2014,110.63,210.1,30.04,1230
5/31/2014,109.23,209.7,30.05,1251
6/7/2014,108.69,203.8,30.01,1301
6/14/2014,113.11,209.2,29.92,1371
6/21/2014,114.65,214.7,29.96,1401
6/28/2014,112.67,209.7,30.04,1401
7/5/2014,109.82,207.8,30.03,1481
7/12/2014,106.04,200.5,30.02,1505
7/19/2014,106.85,202.9,30.05,1555
7/26/2014,107.51,199.5,30.04,1625
8/2/2014,104,200,30.03,1565
8/9/2014,104.22,190.1,29.99,1491
8/16/2014,102.21,180.3,29.97,1369
8/23/2014,101.52,182.8,30.03,1359
8/30/2014,102.31,179.8,30.17,1429
9/6/2014,100.27,174.6,30.26,1509
9/13/2014,96.76,164,30.46,1540
9/20/2014,97.57,163,30.47,1535
9/27/2014,96.18,156,30.42,1450
10/4/2014,91.53,152.7,30.4,1395
10/11/2014,89.56,156,30.4,1295
10/18/2014,85.68,163.1,30.58,1095
10/25/2014,86.09,171.5,30.71,1040
11/1/2014,85.13,170.8,30.87,1055
11/8/2014,83.36,164.8,30.98,1080
11/15/2014,78.14,166,31.15,1070
11/22/2014,79.73,160.6,31.28,1040
11/29/2014,70.97,157,31.38,1010
12/6/2014,67.25,155.1,31.73,1005
12/13/2014,61.79,158.4,31.74,970
12/20/2014,60.34,165.9,31.98,980
12/27/2014,59.07,164.5,31.79,980
12/31/2014,56.21,168.9,31.54,980
1/3/2015,55.76,171,31.4,980
1/10/2015,50.11,166,31.55,775
1/17/2015,50.17,160,31.54,700
1/24/2015,48.79,167.5,31.61,680
1/31/2015,52.99,169,31.57,650
2/7/2015,57.8,178.5,31.49,670
2/14/2015,61.52,185.3,31.62,680
2/21/2015,60.53,182,31.61,690
2/28/2015,62.58,183.5,31.41,730
3/7/2015,59.73,172.2,31.36,850
3/14/2015,54.67,171.5,31.21,880
3/21/2015,55.32,171.3,31.27,870
3/28/2015,56.41,171.1,31.11,870
4/4/2015,56.24,171.7,30.78,870
4/11/2015,56.89,165.3,30.77,1000
4/18/2015,63.12,166.5,30.73,1065
4/25/2015,64.14,172.2,30.62,1080
5/2/2015,66.22,179,30.73,1120
5/9/2015,66.86,183.7,30.98,1115
5/16/2015,67.06,182.3,31.22,1110
5/23/2015,66.13,182,31.2,1130
5/30/2015,62.13,190,31.04,1160
6/6/2015,62.75,187.2,31.12,1230
6/13/2015,65.17,184.9,31.19,1390
6/20/2015,64.35,182,31.27,1390
6/27/2015,63.26,175.2,31.41,1410
7/4/2015,62.63,170.7,31.53,1380
