@relation weka_training_2

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute A41 numeric
@attribute A42 numeric
@attribute A43 numeric
@attribute A44 numeric
@attribute A45 numeric
@attribute A46 numeric
@attribute A47 numeric
@attribute A48 numeric
@attribute A49 numeric
@attribute A50 numeric
@attribute A51 numeric
@attribute A52 numeric
@attribute A53 numeric
@attribute A54 numeric
@attribute A55 numeric
@attribute A56 numeric
@attribute A57 numeric
@attribute A58 numeric
@attribute A59 numeric
@attribute A60 numeric
@attribute A61 numeric
@attribute A62 numeric
@attribute A63 numeric
@attribute A64 numeric
@attribute A65 numeric
@attribute A66 numeric
@attribute A67 numeric
@attribute A68 numeric
@attribute A69 numeric
@attribute A70 numeric
@attribute A71 numeric
@attribute A72 numeric
@attribute A73 numeric
@attribute A74 numeric
@attribute A75 numeric
@attribute A76 numeric
@attribute A77 numeric
@attribute A78 numeric
@attribute A79 numeric
@attribute A80 numeric
@attribute A81 numeric
@attribute A82 numeric
@attribute A83 numeric
@attribute A84 numeric
@attribute A85 numeric
@attribute A86 numeric
@attribute A87 numeric
@attribute A88 numeric
@attribute A89 numeric
@attribute A90 numeric
@attribute A91 numeric
@attribute A92 numeric
@attribute A93 numeric
@attribute A94 numeric
@attribute A95 numeric
@attribute A96 numeric
@attribute A97 numeric
@attribute A98 numeric
@attribute A99 numeric
@attribute A100 numeric
@attribute A101 numeric
@attribute A102 numeric
@attribute A103 numeric
@attribute A104 numeric
@attribute A105 numeric
@attribute A106 numeric
@attribute A107 numeric
@attribute A108 numeric
@attribute A109 numeric
@attribute A110 numeric
@attribute A111 numeric
@attribute A112 numeric
@attribute A113 numeric
@attribute A114 numeric
@attribute A115 numeric
@attribute A116 numeric
@attribute A117 numeric
@attribute A118 numeric
@attribute A119 numeric
@attribute A120 numeric
@attribute A121 numeric
@attribute A122 numeric
@attribute A123 numeric
@attribute A124 numeric
@attribute A125 numeric
@attribute A126 numeric
@attribute A127 numeric
@attribute A128 numeric
@attribute Target {Rise,Down}

@data
79.62,288.7125,31.89,1753,-0.000767,-0.001196,-0.000034,-0.000584,0.178058,0.496392,0.10732,4.510309,82.75,294.35,31.87,1785,0.019277,0.009669,-0.000314,0.009045,81.185,291.53125,31.88,1769,78,303.6,31.78,1795,-0.029549,0.01547,-0.001414,0.002793,-0.81,7.44375,-0.055,21,74.54,304.1,31.89,1825,-0.022683,0.000823,0.001728,0.008287,-4.105,4.875,0.01,20,72.89,291.9,32.01,1836,-0.011192,-0.02047,0.001878,0.003005,-2.555,-5.85,0.115,20.5,71.19,291.05,32.07,1848,-0.011799,-0.001458,0.000936,0.003257,-1.675,-6.525,0.09,11.5,74.13,296.8,32.09,1838,0.020231,0.009781,0.000312,-0.002713,0.62,2.45,0.04,1,79.81,303.75,32.09,1800,0.036897,0.011573,0,-0.010445,4.31,6.35,0.01,-24,79.66,308.5,32.08,1795,-0.000941,0.007758,-0.000156,-0.001391,2.765,5.85,-0.005,-21.5,81.5,313.25,32.01,1825,0.011417,0.00764,-0.001092,0.008287,0.845,4.75,-0.04,12.5,77.409,299.60125,31.978,1810,118.62,452,48.015,2725,Rise
82.75,294.35,31.87,1785,0.019277,0.009669,-0.000314,0.009045,81.185,291.53125,31.88,1769,78,303.6,31.78,1795,-0.029549,0.01547,-0.001414,0.002793,-0.81,7.44375,-0.055,21,74.54,304.1,31.89,1825,-0.022683,0.000823,0.001728,0.008287,-4.105,4.875,0.01,20,72.89,291.9,32.01,1836,-0.011192,-0.02047,0.001878,0.003005,-2.555,-5.85,0.115,20.5,71.19,291.05,32.07,1848,-0.011799,-0.001458,0.000936,0.003257,-1.675,-6.525,0.09,11.5,74.13,296.8,32.09,1838,0.020231,0.009781,0.000312,-0.002713,0.62,2.45,0.04,1,79.81,303.75,32.09,1800,0.036897,0.011573,0,-0.010445,4.31,6.35,0.01,-24,79.66,308.5,32.08,1795,-0.000941,0.007758,-0.000156,-0.001391,2.765,5.85,-0.005,-21.5,81.5,313.25,32.01,1825,0.011417,0.00764,-0.001092,0.008287,0.845,4.75,-0.04,12.5,81.24,318.35,31.87,1909,-0.001598,0.008075,-0.002192,0.022496,0.79,4.925,-0.105,57,77.571,302.565,31.976,1825.6,118.66,455.55,48.015,2737.5,Rise
78,303.6,31.78,1795,-0.029549,0.01547,-0.001414,0.002793,-0.81,7.44375,-0.055,21,74.54,304.1,31.89,1825,-0.022683,0.000823,0.001728,0.008287,-4.105,4.875,0.01,20,72.89,291.9,32.01,1836,-0.011192,-0.02047,0.001878,0.003005,-2.555,-5.85,0.115,20.5,71.19,291.05,32.07,1848,-0.011799,-0.001458,0.000936,0.003257,-1.675,-6.525,0.09,11.5,74.13,296.8,32.09,1838,0.020231,0.009781,0.000312,-0.002713,0.62,2.45,0.04,1,79.81,303.75,32.09,1800,0.036897,0.011573,0,-0.010445,4.31,6.35,0.01,-24,79.66,308.5,32.08,1795,-0.000941,0.007758,-0.000156,-0.001391,2.765,5.85,-0.005,-21.5,81.5,313.25,32.01,1825,0.011417,0.00764,-0.001092,0.008287,0.845,4.75,-0.04,12.5,81.24,318.35,31.87,1909,-0.001598,0.008075,-0.002192,0.022496,0.79,4.925,-0.105,57,80.68,313,31.79,2013,-0.003458,-0.008474,-0.001257,0.026517,-0.41,-0.125,-0.11,94,77.364,304.43,31.968,1848.4,118.66,455.975,48.015,2748.5,Rise
74.54,304.1,31.89,1825,-0.022683,0.000823,0.001728,0.008287,-4.105,4.875,0.01,20,72.89,291.9,32.01,1836,-0.011192,-0.02047,0.001878,0.003005,-2.555,-5.85,0.115,20.5,71.19,291.05,32.07,1848,-0.011799,-0.001458,0.000936,0.003257,-1.675,-6.525,0.09,11.5,74.13,296.8,32.09,1838,0.020231,0.009781,0.000312,-0.002713,0.62,2.45,0.04,1,79.81,303.75,32.09,1800,0.036897,0.011573,0,-0.010445,4.31,6.35,0.01,-24,79.66,308.5,32.08,1795,-0.000941,0.007758,-0.000156,-0.001391,2.765,5.85,-0.005,-21.5,81.5,313.25,32.01,1825,0.011417,0.00764,-0.001092,0.008287,0.845,4.75,-0.04,12.5,81.24,318.35,31.87,1909,-0.001598,0.008075,-0.002192,0.022496,0.79,4.925,-0.105,57,80.68,313,31.79,2013,-0.003458,-0.008474,-0.001257,0.026517,-0.41,-0.125,-0.11,94,80,315.1,31.86,2013,-0.004232,0.003343,0.0011,0,-0.62,-1.625,-0.005,52,77.564,305.58,31.976,1870.2,119.64,460.55,48.015,2756,Rise
72.89,291.9,32.01,1836,-0.011192,-0.02047,0.001878,0.003005,-2.555,-5.85,0.115,20.5,71.19,291.05,32.07,1848,-0.011799,-0.001458,0.000936,0.003257,-1.675,-6.525,0.09,11.5,74.13,296.8,32.09,1838,0.020231,0.009781,0.000312,-0.002713,0.62,2.45,0.04,1,79.81,303.75,32.09,1800,0.036897,0.011573,0,-0.010445,4.31,6.35,0.01,-24,79.66,308.5,32.08,1795,-0.000941,0.007758,-0.000156,-0.001391,2.765,5.85,-0.005,-21.5,81.5,313.25,32.01,1825,0.011417,0.00764,-0.001092,0.008287,0.845,4.75,-0.04,12.5,81.24,318.35,31.87,1909,-0.001598,0.008075,-0.002192,0.022496,0.79,4.925,-0.105,57,80.68,313,31.79,2013,-0.003458,-0.008474,-0.001257,0.026517,-0.41,-0.125,-0.11,94,80,315.1,31.86,2013,-0.004232,0.003343,0.0011,0,-0.62,-1.625,-0.005,52,82.46,323.55,31.76,2013,0.015142,0.013231,-0.001572,0,0.89,5.275,-0.015,0,78.356,307.525,31.963,1889,119.905,467.25,48.015,2767,Rise
71.19,291.05,32.07,1848,-0.011799,-0.001458,0.000936,0.003257,-1.675,-6.525,0.09,11.5,74.13,296.8,32.09,1838,0.020231,0.009781,0.000312,-0.002713,0.62,2.45,0.04,1,79.81,303.75,32.09,1800,0.036897,0.011573,0,-0.010445,4.31,6.35,0.01,-24,79.66,308.5,32.08,1795,-0.000941,0.007758,-0.000156,-0.001391,2.765,5.85,-0.005,-21.5,81.5,313.25,32.01,1825,0.011417,0.00764,-0.001092,0.008287,0.845,4.75,-0.04,12.5,81.24,318.35,31.87,1909,-0.001598,0.008075,-0.002192,0.022496,0.79,4.925,-0.105,57,80.68,313,31.79,2013,-0.003458,-0.008474,-0.001257,0.026517,-0.41,-0.125,-0.11,94,80,315.1,31.86,2013,-0.004232,0.003343,0.0011,0,-0.62,-1.625,-0.005,52,82.46,323.55,31.76,2013,0.015142,0.013231,-0.001572,0,0.89,5.275,-0.015,0,84.92,332,31.65,2050,0.014697,0.01289,-0.001735,0.009107,2.46,8.45,-0.105,18.5,79.559,311.535,31.927,1910.4,120.68,469.75,47.945,2833,Rise
74.13,296.8,32.09,1838,0.020231,0.009781,0.000312,-0.002713,0.62,2.45,0.04,1,79.81,303.75,32.09,1800,0.036897,0.011573,0,-0.010445,4.31,6.35,0.01,-24,79.66,308.5,32.08,1795,-0.000941,0.007758,-0.000156,-0.001391,2.765,5.85,-0.005,-21.5,81.5,313.25,32.01,1825,0.011417,0.00764,-0.001092,0.008287,0.845,4.75,-0.04,12.5,81.24,318.35,31.87,1909,-0.001598,0.008075,-0.002192,0.022496,0.79,4.925,-0.105,57,80.68,313,31.79,2013,-0.003458,-0.008474,-0.001257,0.026517,-0.41,-0.125,-0.11,94,80,315.1,31.86,2013,-0.004232,0.003343,0.0011,0,-0.62,-1.625,-0.005,52,82.46,323.55,31.76,2013,0.015142,0.013231,-0.001572,0,0.89,5.275,-0.015,0,84.92,332,31.65,2050,0.014697,0.01289,-0.001735,0.009107,2.46,8.45,-0.105,18.5,83.24,334.35,31.47,2105,-0.00999,0.003527,-0.002852,0.013237,0.39,5.4,-0.145,46,80.764,315.865,31.867,1936.1,121.58,471.725,47.8,2967.5,Rise
79.81,303.75,32.09,1800,0.036897,0.011573,0,-0.010445,4.31,6.35,0.01,-24,79.66,308.5,32.08,1795,-0.000941,0.007758,-0.000156,-0.001391,2.765,5.85,-0.005,-21.5,81.5,313.25,32.01,1825,0.011417,0.00764,-0.001092,0.008287,0.845,4.75,-0.04,12.5,81.24,318.35,31.87,1909,-0.001598,0.008075,-0.002192,0.022496,0.79,4.925,-0.105,57,80.68,313,31.79,2013,-0.003458,-0.008474,-0.001257,0.026517,-0.41,-0.125,-0.11,94,80,315.1,31.86,2013,-0.004232,0.003343,0.0011,0,-0.62,-1.625,-0.005,52,82.46,323.55,31.76,2013,0.015142,0.013231,-0.001572,0,0.89,5.275,-0.015,0,84.92,332,31.65,2050,0.014697,0.01289,-0.001735,0.009107,2.46,8.45,-0.105,18.5,83.24,334.35,31.47,2105,-0.00999,0.003527,-0.002852,0.013237,0.39,5.4,-0.145,46,85.12,331.15,31.43,2105,0.011167,-0.004808,-0.000636,0,0.1,-0.425,-0.11,27.5,81.863,319.3,31.801,1962.8,122.12,475.9,47.755,3019.5,Rise
79.66,308.5,32.08,1795,-0.000941,0.007758,-0.000156,-0.001391,2.765,5.85,-0.005,-21.5,81.5,313.25,32.01,1825,0.011417,0.00764,-0.001092,0.008287,0.845,4.75,-0.04,12.5,81.24,318.35,31.87,1909,-0.001598,0.008075,-0.002192,0.022496,0.79,4.925,-0.105,57,80.68,313,31.79,2013,-0.003458,-0.008474,-0.001257,0.026517,-0.41,-0.125,-0.11,94,80,315.1,31.86,2013,-0.004232,0.003343,0.0011,0,-0.62,-1.625,-0.005,52,82.46,323.55,31.76,2013,0.015142,0.013231,-0.001572,0,0.89,5.275,-0.015,0,84.92,332,31.65,2050,0.014697,0.01289,-0.001735,0.009107,2.46,8.45,-0.105,18.5,83.24,334.35,31.47,2105,-0.00999,0.003527,-0.002852,0.013237,0.39,5.4,-0.145,46,85.12,331.15,31.43,2105,0.011167,-0.004808,-0.000636,0,0.1,-0.425,-0.11,27.5,86.15,317.1,31.43,2168,0.006014,-0.021674,0,0.014744,1.455,-8.625,-0.02,31.5,82.497,320.635,31.735,1999.6,123.21,476.9,47.67,3019.5,Rise
81.5,313.25,32.01,1825,0.011417,0.00764,-0.001092,0.008287,0.845,4.75,-0.04,12.5,81.24,318.35,31.87,1909,-0.001598,0.008075,-0.002192,0.022496,0.79,4.925,-0.105,57,80.68,313,31.79,2013,-0.003458,-0.008474,-0.001257,0.026517,-0.41,-0.125,-0.11,94,80,315.1,31.86,2013,-0.004232,0.003343,0.0011,0,-0.62,-1.625,-0.005,52,82.46,323.55,31.76,2013,0.015142,0.013231,-0.001572,0,0.89,5.275,-0.015,0,84.92,332,31.65,2050,0.014697,0.01289,-0.001735,0.009107,2.46,8.45,-0.105,18.5,83.24,334.35,31.47,2105,-0.00999,0.003527,-0.002852,0.013237,0.39,5.4,-0.145,46,85.12,331.15,31.43,2105,0.011167,-0.004808,-0.000636,0,0.1,-0.425,-0.11,27.5,86.15,317.1,31.43,2168,0.006014,-0.021674,0,0.014744,1.455,-8.625,-0.02,31.5,75.11,288.95,31.63,2231,-0.068461,-0.046448,0.003172,0.014321,-5.005,-21.1,0.1,63,82.042,318.68,31.69,2043.2,123.21,476.9,47.585,3056.5,Rise
