@relation weka_training_4

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute A41 numeric
@attribute A42 numeric
@attribute A43 numeric
@attribute A44 numeric
@attribute A45 numeric
@attribute A46 numeric
@attribute A47 numeric
@attribute A48 numeric
@attribute A49 numeric
@attribute A50 numeric
@attribute A51 numeric
@attribute A52 numeric
@attribute A53 numeric
@attribute A54 numeric
@attribute A55 numeric
@attribute A56 numeric
@attribute A57 numeric
@attribute A58 numeric
@attribute A59 numeric
@attribute A60 numeric
@attribute A61 numeric
@attribute A62 numeric
@attribute A63 numeric
@attribute A64 numeric
@attribute A65 numeric
@attribute A66 numeric
@attribute A67 numeric
@attribute A68 numeric
@attribute A69 numeric
@attribute A70 numeric
@attribute A71 numeric
@attribute A72 numeric
@attribute A73 numeric
@attribute A74 numeric
@attribute A75 numeric
@attribute A76 numeric
@attribute A77 numeric
@attribute A78 numeric
@attribute A79 numeric
@attribute A80 numeric
@attribute A81 numeric
@attribute A82 numeric
@attribute A83 numeric
@attribute A84 numeric
@attribute Target {Rise,Down}

@data
-0.001468,-0.003284,-0.000114,-0.000288,0.20362,0.536505,0.107768,4.714533,-0.001468,-0.003284,-0.000114,-0.000288,0.20362,0.536505,0.107768,4.714533,-0.001468,-0.003284,-0.000114,-0.000288,0.20362,0.536505,0.107768,4.714533,-0.05319,0.02153,0.00102,0.019838,78.7275,297.690625,31.8575,1789.5,-0.05393,-0.02207,0.003842,0.014225,-1.6825,0.796875,0.03,20.75,-0.039984,-0.022215,0.004149,0.012048,-2.89,-0.825,0.05,15.75,0.012878,0.00283,0.002343,0.000681,-0.9675,-1.7,0.0775,10.75,0.071203,0.026616,0.00078,-0.016662,1.3175,-0.0875,0.05,-6.25,0.045441,0.028248,-0.000078,-0.013872,1.6925,4.15,0.0175,-10.25,0.034592,0.025117,-0.001793,0.005787,2.5775,5.55,-0.015,-5.75,77.409,299.60125,31.978,1810,Rise
-0.001468,-0.003284,-0.000114,-0.000288,0.20362,0.536505,0.107768,4.714533,-0.001468,-0.003284,-0.000114,-0.000288,0.20362,0.536505,0.107768,4.714533,-0.05319,0.02153,0.00102,0.019838,78.7275,297.690625,31.8575,1789.5,-0.05393,-0.02207,0.003842,0.014225,-1.6825,0.796875,0.03,20.75,-0.039984,-0.022215,0.004149,0.012048,-2.89,-0.825,0.05,15.75,0.012878,0.00283,0.002343,0.000681,-0.9675,-1.7,0.0775,10.75,0.071203,0.026616,0.00078,-0.016662,1.3175,-0.0875,0.05,-6.25,0.045441,0.028248,-0.000078,-0.013872,1.6925,4.15,0.0175,-10.25,0.034592,0.025117,-0.001793,0.005787,2.5775,5.55,-0.015,-5.75,0.008535,0.023757,-0.004451,0.041888,1.7775,5.3875,-0.055,17.75,77.571,302.565,31.976,1825.6,Rise
-0.001468,-0.003284,-0.000114,-0.000288,0.20362,0.536505,0.107768,4.714533,-0.05319,0.02153,0.00102,0.019838,78.7275,297.690625,31.8575,1789.5,-0.05393,-0.02207,0.003842,0.014225,-1.6825,0.796875,0.03,20.75,-0.039984,-0.022215,0.004149,0.012048,-2.89,-0.825,0.05,15.75,0.012878,0.00283,0.002343,0.000681,-0.9675,-1.7,0.0775,10.75,0.071203,0.026616,0.00078,-0.016662,1.3175,-0.0875,0.05,-6.25,0.045441,0.028248,-0.000078,-0.013872,1.6925,4.15,0.0175,-10.25,0.034592,0.025117,-0.001793,0.005787,2.5775,5.55,-0.015,-5.75,0.008535,0.023757,-0.004451,0.041888,1.7775,5.3875,-0.055,17.75,-0.001114,-0.000878,-0.004618,0.067621,0.2175,2.3125,-0.075,53.25,77.364,304.43,31.968,1848.4,Rise
-0.05319,0.02153,0.00102,0.019838,78.7275,297.690625,31.8575,1789.5,-0.05393,-0.02207,0.003842,0.014225,-1.6825,0.796875,0.03,20.75,-0.039984,-0.022215,0.004149,0.012048,-2.89,-0.825,0.05,15.75,0.012878,0.00283,0.002343,0.000681,-0.9675,-1.7,0.0775,10.75,0.071203,0.026616,0.00078,-0.016662,1.3175,-0.0875,0.05,-6.25,0.045441,0.028248,-0.000078,-0.013872,1.6925,4.15,0.0175,-10.25,0.034592,0.025117,-0.001793,0.005787,2.5775,5.55,-0.015,-5.75,0.008535,0.023757,-0.004451,0.041888,1.7775,5.3875,-0.055,17.75,-0.001114,-0.000878,-0.004618,0.067621,0.2175,2.3125,-0.075,53.25,-0.010574,0.000556,-0.000706,0.037629,0.085,1.65,-0.055,54.5,77.564,305.58,31.976,1870.2,Rise
-0.05393,-0.02207,0.003842,0.014225,-1.6825,0.796875,0.03,20.75,-0.039984,-0.022215,0.004149,0.012048,-2.89,-0.825,0.05,15.75,0.012878,0.00283,0.002343,0.000681,-0.9675,-1.7,0.0775,10.75,0.071203,0.026616,0.00078,-0.016662,1.3175,-0.0875,0.05,-6.25,0.045441,0.028248,-0.000078,-0.013872,1.6925,4.15,0.0175,-10.25,0.034592,0.025117,-0.001793,0.005787,2.5775,5.55,-0.015,-5.75,0.008535,0.023757,-0.004451,0.041888,1.7775,5.3875,-0.055,17.75,-0.001114,-0.000878,-0.004618,0.067621,0.2175,2.3125,-0.075,53.25,-0.010574,0.000556,-0.000706,0.037629,0.085,1.65,-0.055,54.5,0.016832,0.019055,-0.001886,0.013085,0.24,2.575,-0.0625,47,78.356,307.525,31.963,1889,Rise
-0.039984,-0.022215,0.004149,0.012048,-2.89,-0.825,0.05,15.75,0.012878,0.00283,0.002343,0.000681,-0.9675,-1.7,0.0775,10.75,0.071203,0.026616,0.00078,-0.016662,1.3175,-0.0875,0.05,-6.25,0.045441,0.028248,-0.000078,-0.013872,1.6925,4.15,0.0175,-10.25,0.034592,0.025117,-0.001793,0.005787,2.5775,5.55,-0.015,-5.75,0.008535,0.023757,-0.004451,0.041888,1.7775,5.3875,-0.055,17.75,-0.001114,-0.000878,-0.004618,0.067621,0.2175,2.3125,-0.075,53.25,-0.010574,0.000556,-0.000706,0.037629,0.085,1.65,-0.055,54.5,0.016832,0.019055,-0.001886,0.013085,0.24,2.575,-0.0625,47,0.03542,0.03455,-0.00362,0.013722,0.92,3.4125,-0.055,35.25,79.559,311.535,31.927,1910.4,Rise
0.012878,0.00283,0.002343,0.000681,-0.9675,-1.7,0.0775,10.75,0.071203,0.026616,0.00078,-0.016662,1.3175,-0.0875,0.05,-6.25,0.045441,0.028248,-0.000078,-0.013872,1.6925,4.15,0.0175,-10.25,0.034592,0.025117,-0.001793,0.005787,2.5775,5.55,-0.015,-5.75,0.008535,0.023757,-0.004451,0.041888,1.7775,5.3875,-0.055,17.75,-0.001114,-0.000878,-0.004618,0.067621,0.2175,2.3125,-0.075,53.25,-0.010574,0.000556,-0.000706,0.037629,0.085,1.65,-0.055,54.5,0.016832,0.019055,-0.001886,0.013085,0.24,2.575,-0.0625,47,0.03542,0.03455,-0.00362,0.013722,0.92,3.4125,-0.055,35.25,0.007078,0.024828,-0.006786,0.029214,0.64,5.3375,-0.08,23,80.764,315.865,31.867,1936.1,Rise
0.071203,0.026616,0.00078,-0.016662,1.3175,-0.0875,0.05,-6.25,0.045441,0.028248,-0.000078,-0.013872,1.6925,4.15,0.0175,-10.25,0.034592,0.025117,-0.001793,0.005787,2.5775,5.55,-0.015,-5.75,0.008535,0.023757,-0.004451,0.041888,1.7775,5.3875,-0.055,17.75,-0.001114,-0.000878,-0.004618,0.067621,0.2175,2.3125,-0.075,53.25,-0.010574,0.000556,-0.000706,0.037629,0.085,1.65,-0.055,54.5,0.016832,0.019055,-0.001886,0.013085,0.24,2.575,-0.0625,47,0.03542,0.03455,-0.00362,0.013722,0.92,3.4125,-0.055,35.25,0.007078,0.024828,-0.006786,0.029214,0.64,5.3375,-0.08,23,0.014118,0.002687,-0.004671,0.017769,1.28,4.0125,-0.1075,23,81.863,319.3,31.801,1962.8,Rise
0.045441,0.028248,-0.000078,-0.013872,1.6925,4.15,0.0175,-10.25,0.034592,0.025117,-0.001793,0.005787,2.5775,5.55,-0.015,-5.75,0.008535,0.023757,-0.004451,0.041888,1.7775,5.3875,-0.055,17.75,-0.001114,-0.000878,-0.004618,0.067621,0.2175,2.3125,-0.075,53.25,-0.010574,0.000556,-0.000706,0.037629,0.085,1.65,-0.055,54.5,0.016832,0.019055,-0.001886,0.013085,0.24,2.575,-0.0625,47,0.03542,0.03455,-0.00362,0.013722,0.92,3.4125,-0.055,35.25,0.007078,0.024828,-0.006786,0.029214,0.64,5.3375,-0.08,23,0.014118,0.002687,-0.004671,0.017769,1.28,4.0125,-0.1075,23,0.015231,-0.035144,-0.002064,0.028951,0.9225,-1.6125,-0.0825,38.75,82.497,320.635,31.735,1999.6,Rise
0.034592,0.025117,-0.001793,0.005787,2.5775,5.55,-0.015,-5.75,0.008535,0.023757,-0.004451,0.041888,1.7775,5.3875,-0.055,17.75,-0.001114,-0.000878,-0.004618,0.067621,0.2175,2.3125,-0.075,53.25,-0.010574,0.000556,-0.000706,0.037629,0.085,1.65,-0.055,54.5,0.016832,0.019055,-0.001886,0.013085,0.24,2.575,-0.0625,47,0.03542,0.03455,-0.00362,0.013722,0.92,3.4125,-0.055,35.25,0.007078,0.024828,-0.006786,0.029214,0.64,5.3375,-0.08,23,0.014118,0.002687,-0.004671,0.017769,1.28,4.0125,-0.1075,23,0.015231,-0.035144,-0.002064,0.028951,0.9225,-1.6125,-0.0825,38.75,-0.088526,-0.091031,0.004446,0.03659,-2.4525,-10.7625,-0.005,45.25,82.042,318.68,31.69,2043.2,Rise
